AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
80-99,F,former,normal,yes,0.12159740
80-99,F,former,obese,no,0.41146981
80-99,F,former,obese,yes,0.27907900
80-99,F,former,over,no,0.26726560
80-99,F,former,over,yes,0.16802600
80-99,F,former,under,no,0.14117203
80-99,F,former,under,yes,0.08342227
80-99,F,never,normal,no,0.18213269
80-99,F,never,normal,yes,0.10976862
80-99,F,never,obese,no,0.38376219
80-99,F,never,obese,yes,0.25640239
80-99,F,never,over,no,0.24522238
80-99,F,never,over,yes,0.15246465
80-99,F,never,under,no,0.12771592
80-99,F,never,under,yes,0.07499006
80-99,M,current,normal,no,0.24087473
80-99,M,current,normal,yes,0.14943594
80-99,M,current,obese,no,0.47015177
80-99,M,current,obese,yes,0.32944923
80-99,M,current,over,no,0.31643955
80-99,M,current,over,yes,0.20402504
80-99,M,current,under,no,0.17261136
80-99,M,current,under,yes,0.10355129
80-99,M,former,normal,no,0.24165413
80-99,M,former,normal,yes,0.14997793
80-99,M,former,obese,no,0.47121253
80-99,M,former,obese,yes,0.33039049
80-99,M,former,over,no,0.31736123
80-99,M,former,over,yes,0.20471736
80-99,M,former,under,no,0.17322028
80-99,M,former,under,yes,0.10394719
80-99,M,never,normal,no,0.22108591
80-99,M,never,normal,yes,0.13581520
80-99,M,never,obese,no,0.44250675
80-99,M,never,obese,yes,0.30531027
80-99,M,never,over,no,0.29283753
80-99,M,never,over,yes,0.18651974
80-99,M,never,under,no,0.15726881
80-99,M,never,under,yes,0.09365233
